,Unnamed: 0,股票简称,昨首停,昨收,前连板,昨封单,昨开,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
1259,002335.SZ,科华数据,2021-07-06 10:20:18,0.47095761,2,,5.9654631083202485,20210706,False,True,0.0,0.0781,-3.5909,3.8057,-0.975,-9.52904239,-9.52904239
1264,002442.SZ,龙星化工,2021-07-07 09:30:45,10.0,2,12890700.0,5.049088359046287,20210707,False,True,-3.699,-4.5033,4.9931,-3.963,1.7882,0.0,-3.699
1270,603324.SH,盛剑环境,2021-07-08 09:31:45,10.0,3,1325588.0,9.554140127388536,20210708,False,True,7.3152,-5.3237,0.4179,0.8135,-8.9886,0.0,7.3152
1277,603324.SH,盛剑环境,2021-07-09 10:28:00,7.31519012,4,,-7.199382358618035,20210709,False,True,-5.3237,0.4179,0.8135,-8.9886,1.9588,-2.6848098800000004,-8.00850988
1284,002895.SZ,川恒股份,2021-07-12 09:33:30,8.41916704,2,,7.344379758172865,20210712,False,True,-5.0392,-4.3932,0.091,2.5455,-10.0,-1.5808329600000004,-6.6200329600000005
1292,002943.SZ,宇晶股份,2021-07-13 10:36:37,10.0,2,5474275.0,2.0408163265306207,20210713,False,True,-10.0,-5.79,-2.9167,-2.4678,5.8856,0.0,-15.79
1299,603171.SH,税友股份,2021-07-14 09:32:45,10.0,10,1710252.0,7.79765849348353,20210714,False,True,10.0,-9.7298,10.0,-8.2353,-6.5505,0.0,0.2702000000000009
1307,002140.SZ,东华科技,2021-07-15 09:30:30,10.0,3,6614759.0,9.890109890109892,20210715,False,True,10.0,-1.2386,-4.7659,4.1264,10.0,0.0,8.7614
1313,603171.SH,税友股份,2021-07-16 09:31:00,-9.7298284,12,,4.03431909456006,20210716,False,True,10.0,-8.2353,-6.5505,1.2862,-2.5397,-19.7298284,-17.965128400000005
1319,002140.SZ,东华科技,2021-07-19 09:30:45,-1.23864575,5,,7.266721717588777,20210719,False,True,-4.7659,4.1264,10.0,-10.0,3.8298,-11.23864575,-16.00454575
1322,000506.SZ,中润资源,2021-07-20 09:30:45,10.0,4,10710321.0,10.0609756097561,20210720,False,True,10.0,-7.5567,10.0,0.9901,10.0,0.0,2.4433
1325,002564.SZ,天沃科技,2021-07-21 09:31:30,10.0,2,2977046.0,5.622489959839344,20210721,False,True,-8.9416,2.2044,-3.7255,-7.943,1.7699,0.0,-8.9416
1333,002418.SZ,康盛股份,2021-07-22 11:08:30,4.56730769,2,,3.84615384615385,20210722,False,True,-8.7356,10.0,-3.8902,7.619,-0.6637,-5.43269231,-14.16829231
1337,002897.SZ,意华股份,2021-07-23 09:30:15,10.0,2,1549945.0,9.98201438848922,20210723,False,True,10.0,10.0,-1.6892,4.811,-2.9508,0.0,18.3108
1343,000572.SZ,海马汽车,2021-07-26 14:28:20,10.0,3,3698000.0,0.0,20210726,False,True,-9.375,-5.5472,0.1587,-0.9509,10.0,0.0,-9.375
1346,002897.SZ,意华股份,2021-07-27 09:31:00,10.0,4,866820.0,4.719435154217761,20210727,False,True,-1.6892,4.811,-2.9508,10.0,-2.457,0.0,-1.6892
1352,605066.SH,天正电气,2021-07-28 09:41:15,10.0,2,2998025.0,-0.4331683168316849,20210728,False,True,10.0,-10.0,-2.5,-8.683,5.2967,0.0,-2.5
1358,605020.SH,永和股份,2021-07-29 09:31:30,10.0,14,363084.0,9.770948100898805,20210729,False,True,-10.0,5.5344,-6.465,2.3435,-9.8551,0.0,-4.4656
1363,002455.SZ,百川股份,2021-07-30 09:31:15,10.0,2,5148448.0,7.702612190221022,20210730,False,True,10.0,-4.928,10.0,1.2176,-2.0921,0.0,5.072
1372,603683.SH,晶华新材,2021-08-02 09:30:15,9.13461538,2,,9.903846153846148,20210802,False,True,10.0,0.8807,10.0,0.0,-6.3492,-0.8653846200000004,10.01531538
1381,002335.SZ,科华数据,2021-08-03 09:34:34,0.48342541,3,,5.28314917127071,20210803,False,True,10.0,2.6242,-1.9787,3.0435,4.4304,-9.51657459,3.1076254100000007
1389,600815.SH,厦工股份,2021-08-04 09:30:08,9.89010989,2,15132753.0,8.058608058608067,20210804,False,True,10.0,9.0909,-9.7222,-6.1538,-1.3115,-0.1098901100000002,18.98100989
1394,600815.SH,厦工股份,2021-08-05 09:31:15,10.0,3,13619657.0,9.999999999999996,20210805,False,True,9.0909,-9.7222,-6.1538,-1.3115,-2.99,0.0,9.0909
1397,600815.SH,厦工股份,2021-08-06 09:30:15,9.09090909,4,,10.000000000000004,20210806,False,True,-9.7222,-6.1538,-1.3115,-2.99,-1.3699,-0.9090909099999998,-10.63129091
1403,001208.SZ,华菱线缆,2021-08-09 09:32:45,10.0,2,3278408.0,5.734144222415292,20210809,False,True,10.0,10.0,10.0,10.0,10.0,0.0,50.0
1409,001208.SZ,华菱线缆,2021-08-10 09:54:30,10.0,3,4470454.0,2.5276461295418664,20210810,False,True,10.0,10.0,10.0,10.0,6.8661,0.0,46.8661
