,股票简称,昨收,前连板,昨开,昨首停,昨封单,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
603703.SH,盛洋科技,3.82399162,2,10.00523834468308,2021-11-17 09:30:00,,20211117,True,False,3.33,7.4219,1.3182,10.0,-1.3051,-6.17600838,-2.84600838
002728.SZ,特一药业,10.0,2,1.986754966887422,2021-11-17 10:31:17,3313124.0,20211117,False,True,-10.0,-5.0836,1.198,3.6212,1.0081,0.0,-15.0836
603286.SH,日盈电子,2.98229264,3,-4.193849021435238,2021-11-17 14:25:53,,20211117,False,False,-3.3484,-1.9195,10.0,4.1649,10.0,-7.01770736,-10.36610736
603048.SH,浙江黎明,10.0,2,9.996364958197018,2021-11-18 09:30:00,2445853.0,20211118,True,False,10.0,-3.2442,-5.2468,10.0,-4.5279,0.0,6.7558
002943.SZ,宇晶股份,10.0,3,9.602864583333343,2021-11-18 09:32:00,1701500.0,20211118,False,True,8.2865,10.0,2.0621,10.0,,0.0,8.2865
603213.SH,镇洋发展,10.0,5,2.6920031670625484,2021-11-18 09:40:00,2667864.0,20211118,False,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
605133.SH,嵘泰股份,3.71991247,4,0.29175784099197044,2021-11-18 09:45:16,,20211118,False,False,-2.1097,9.6264,-5.2097,4.3899,-4.6358,-6.280087529999999,-8.38978753
002432.SZ,九安医疗,10.0,3,10.055248618784532,2021-11-18 09:51:01,1511749.0,20211118,False,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
002210.SZ,飞马国际,-3.72492837,2,4.871060171919768,2021-11-19 09:30:00,,20211119,True,False,5.0595,5.0992,5.1213,2.3077,5.0125,-13.72492837,-8.66542837
603213.SH,镇洋发展,10.0,6,7.847372210223181,2021-11-19 09:30:45,4245463.0,20211119,False,True,10.0,10.0,10.0,10.0,-10.0,0.0,30.0
