,股票简称,昨收,前连板,昨开,昨首停,昨封单,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
000652.SZ,泰达股份,5.0,2,9.999999999999988,2020-01-22 09:30:00,,20200122,True,False,10.0,10.0,10.0,10.0,10.0,-5.0,45.0
002022.SZ,科华生物,-0.47393365,2,10.020311442112394,2020-01-22 09:30:00,,20200122,True,False,10.0,10.0,-2.1922,0.8621,-2.4501,-10.47393365,7.333866350000001
002166.SZ,莱茵生物,-0.0999001,2,9.990009990009991,2020-01-22 09:30:00,,20200122,True,False,8.4,10.0,-2.4329,0.4299,-1.3699,-10.0999001,-1.699900099999999
300562.SZ,乐心医疗,10.0,2,9.999999999999993,2020-01-22 09:30:00,3367072.0,20200122,True,False,-1.4023,8.6807,-2.5722,4.9097,-1.766,0.0,-1.4023
600186.SH,莲花健康,5.2,2,5.199999999999996,2020-01-22 09:30:00,2796083.0,20200122,True,False,4.943,-5.0725,-4.9618,3.6145,3.876,-4.8,0.1429999999999998
600789.SH,鲁抗医药,10.0,2,9.98937300743889,2020-01-22 09:30:00,4258570.0,20200122,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
603301.SH,振德医疗,3.048551,2,10.011290929619872,2020-01-22 09:30:00,,20200122,True,False,10.0,10.0,10.0,10.0,10.0,-6.951449,43.048551
600527.SH,江南高纤,2.74509804,2,7.8431372549019684,2020-01-22 09:30:45,,20200122,False,True,8.0153,9.894,10.0,3.2164,-1.4164,-7.25490196,0.7603980400000001
300812.SZ,易天股份,10.0,9,0.49826362675524427,2020-01-22 09:43:00,770195.0,20200122,False,False,5.0103,-10.0,-4.7059,4.4048,-2.1898,0.0,5.0103
300336.SZ,新文化,10.0,4,2.464332036316477,2020-01-22 14:22:15,4872296.0,20200122,False,False,-10.0,-10.0,-10.0,2.4272,4.2654,0.0,-10.0
000700.SZ,模塑科技,10.0,5,4.23645320197044,2020-01-22 14:52:02,6208376.0,20200122,False,False,10.0,-10.0,10.0,10.0,10.0,0.0,30.0
300813.SZ,泰林生物,10.0,7,9.995728321230244,2020-01-23 09:30:00,2382880.0,20200123,True,False,10.0,10.0,10.0,10.0,10.0,0.0,10.0
600817.SH,宇通重工,4.96054115,4,4.960541149943645,2020-01-23 09:30:00,1133900.0,20200123,True,False,3.1149,-1.4583,0.2114,0.7384,-0.2094,-5.03945885,-1.92455885
002950.SZ,奥美医疗,10.0,2,10.000000000000004,2020-01-23 09:30:00,3164692.0,20200123,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
600513.SH,联环药业,10.0,4,6.260296540362436,2020-01-23 09:34:01,6099131.0,20200123,False,True,10.0,10.0,10.0,10.0,10.0,0.0,50.0
600186.SH,莲花健康,4.94296578,3,2.6615969581749157,2020-01-23 10:32:32,,20200123,False,False,-5.0725,-4.9618,3.6145,3.876,1.1194,-5.05703422,-10.12953422
600200.SH,江苏吴中,10.0,2,0.0,2020-01-23 10:41:17,2354100.0,20200123,False,False,10.0,-0.1233,10.0,10.0,10.0,0.0,9.8767
600789.SH,鲁抗医药,10.0,3,-2.512077294685988,2020-01-23 13:13:32,4199178.0,20200123,False,False,10.0,10.0,10.0,10.0,-3.2974,0.0,36.7026
000518.SZ,四环生物,10.0,3,-5.01002004008016,2020-01-23 14:07:02,1890088.0,20200123,False,False,10.0,10.0,10.0,10.0,-2.1171,0.0,37.8829
000700.SZ,模塑科技,10.0,6,-1.5219337511190683,2020-01-23 14:29:02,2592506.0,20200123,False,False,-10.0,10.0,10.0,10.0,-3.3265,0.0,16.6735
300813.SZ,泰林生物,10.0,8,9.999999999999998,2020-02-03 09:30:00,4344027.0,20200203,True,False,10.0,10.0,10.0,10.0,-10.0,0.0,10.0
600513.SH,联环药业,10.0,5,10.037453183520599,2020-02-03 09:30:00,12361511.0,20200203,True,False,10.0,10.0,10.0,10.0,-0.5576,0.0,39.4424
600817.SH,宇通重工,3.11493018,5,5.048335123523081,2020-02-03 09:30:00,,20200203,True,False,-1.4583,0.2114,0.7384,-0.2094,5.0367,-6.88506982,-8.34336982
000518.SZ,四环生物,10.0,4,10.01821493624772,2020-02-03 09:30:00,19077177.0,20200203,True,False,10.0,10.0,10.0,-2.1171,-10.0,0.0,27.8829
600789.SH,鲁抗医药,10.0,4,10.008779631255477,2020-02-03 09:30:00,35179260.0,20200203,True,False,10.0,10.0,10.0,-3.2974,-10.0,0.0,26.7026
002950.SZ,奥美医疗,10.0,3,9.994172494172494,2020-02-03 09:30:00,9667400.0,20200203,True,False,10.0,10.0,10.0,10.0,-7.7062,0.0,32.2938
600200.SH,江苏吴中,10.0,3,10.040705563093614,2020-02-03 09:30:00,8629052.0,20200203,True,False,-0.1233,10.0,10.0,10.0,10.0,0.0,-0.1233
300453.SZ,三鑫医疗,10.0,2,9.969481180061042,2020-02-03 09:30:00,3255060.0,20200203,True,False,-0.185,1.7609,2.0036,-8.125,-7.5802,0.0,-0.185
